[2017-04-15 20:38:20,997] Making new env: Pong-v0
200 2 50 0.1 0.01
iter 90, mean_pop -0.80, cur_reward -1.00, aver_reward -0.69
iter 91, mean_pop -0.84, cur_reward 1.00, aver_reward -0.52
iter 92, mean_pop -0.80, cur_reward -1.00, aver_reward -0.57
iter 93, mean_pop -0.84, cur_reward -1.00, aver_reward -0.61
iter 94, mean_pop -0.76, cur_reward -1.00, aver_reward -0.65
iter 95, mean_pop -0.88, cur_reward -1.00, aver_reward -0.69
iter 96, mean_pop -0.72, cur_reward -1.00, aver_reward -0.72
iter 97, mean_pop -0.84, cur_reward -1.00, aver_reward -0.75
iter 98, mean_pop -0.76, cur_reward -1.00, aver_reward -0.77
iter 99, mean_pop -0.96, cur_reward -1.00, aver_reward -0.79
iter 100, mean_pop -0.88, cur_reward -1.00, aver_reward -0.82
iter 101, mean_pop -0.76, cur_reward -1.00, aver_reward -0.83
iter 102, mean_pop -0.84, cur_reward -1.00, aver_reward -0.85
iter 103, mean_pop -0.96, cur_reward -1.00, aver_reward -0.87
iter 104, mean_pop -0.84, cur_reward -1.00, aver_reward -0.88
iter 105, mean_pop -0.84, cur_reward -1.00, aver_reward -0.89
iter 106, mean_pop -0.88, cur_reward -1.00, aver_reward -0.90
iter 107, mean_pop -0.76, cur_reward 1.00, aver_reward -0.71
iter 108, mean_pop -0.76, cur_reward -1.00, aver_reward -0.74
iter 109, mean_pop -0.80, cur_reward -1.00, aver_reward -0.77
iter 110, mean_pop -0.88, cur_reward -1.00, aver_reward -0.79
iter 111, mean_pop -0.84, cur_reward -1.00, aver_reward -0.81
iter 112, mean_pop -0.88, cur_reward -1.00, aver_reward -0.83
iter 113, mean_pop -0.84, cur_reward -1.00, aver_reward -0.85
iter 114, mean_pop -0.92, cur_reward -1.00, aver_reward -0.86
iter 115, mean_pop -0.92, cur_reward -1.00, aver_reward -0.88
iter 116, mean_pop -0.92, cur_reward -1.00, aver_reward -0.89
iter 117, mean_pop -0.84, cur_reward -1.00, aver_reward -0.90
iter 118, mean_pop -0.88, cur_reward -1.00, aver_reward -0.91
iter 119, mean_pop -1.00, cur_reward -1.00, aver_reward -0.92
iter 120, mean_pop -0.80, cur_reward -1.00, aver_reward -0.93
iter 121, mean_pop -0.80, cur_reward -1.00, aver_reward -0.93
iter 122, mean_pop -0.80, cur_reward 1.00, aver_reward -0.74
iter 123, mean_pop -0.88, cur_reward 1.00, aver_reward -0.57
iter 124, mean_pop -0.72, cur_reward -1.00, aver_reward -0.61
iter 125, mean_pop -0.84, cur_reward 1.00, aver_reward -0.45
iter 126, mean_pop -0.76, cur_reward -1.00, aver_reward -0.50
iter 127, mean_pop -0.80, cur_reward -1.00, aver_reward -0.55
iter 128, mean_pop -0.84, cur_reward -1.00, aver_reward -0.60
iter 129, mean_pop -0.80, cur_reward -1.00, aver_reward -0.64
iter 130, mean_pop -0.68, cur_reward -1.00, aver_reward -0.67
iter 131, mean_pop -0.88, cur_reward -1.00, aver_reward -0.71
iter 132, mean_pop -0.88, cur_reward -1.00, aver_reward -0.74
iter 133, mean_pop -0.84, cur_reward -1.00, aver_reward -0.76
iter 134, mean_pop -0.84, cur_reward 1.00, aver_reward -0.59
iter 135, mean_pop -0.80, cur_reward -1.00, aver_reward -0.63
iter 136, mean_pop -0.64, cur_reward -1.00, aver_reward -0.67
iter 137, mean_pop -0.84, cur_reward -1.00, aver_reward -0.70
iter 138, mean_pop -0.68, cur_reward -1.00, aver_reward -0.73
iter 139, mean_pop -0.60, cur_reward -1.00, aver_reward -0.76
iter 140, mean_pop -0.72, cur_reward -1.00, aver_reward -0.78
iter 141, mean_pop -0.84, cur_reward -1.00, aver_reward -0.80
iter 142, mean_pop -0.96, cur_reward -1.00, aver_reward -0.82
iter 143, mean_pop -0.88, cur_reward -1.00, aver_reward -0.84
iter 144, mean_pop -0.80, cur_reward -1.00, aver_reward -0.86
iter 145, mean_pop -0.84, cur_reward -1.00, aver_reward -0.87
iter 146, mean_pop -0.64, cur_reward -1.00, aver_reward -0.88
iter 147, mean_pop -0.72, cur_reward 1.00, aver_reward -0.69
iter 148, mean_pop -0.88, cur_reward 1.00, aver_reward -0.53
iter 149, mean_pop -0.72, cur_reward -1.00, aver_reward -0.57
iter 150, mean_pop -0.76, cur_reward -1.00, aver_reward -0.62
iter 151, mean_pop -0.84, cur_reward -1.00, aver_reward -0.65
iter 152, mean_pop -0.72, cur_reward -1.00, aver_reward -0.69
iter 153, mean_pop -0.92, cur_reward -1.00, aver_reward -0.72
iter 154, mean_pop -0.76, cur_reward -1.00, aver_reward -0.75
iter 155, mean_pop -0.76, cur_reward -1.00, aver_reward -0.77
iter 156, mean_pop -0.88, cur_reward 1.00, aver_reward -0.60
iter 157, mean_pop -0.80, cur_reward -1.00, aver_reward -0.64
iter 158, mean_pop -0.88, cur_reward -1.00, aver_reward -0.67
iter 159, mean_pop -0.72, cur_reward -1.00, aver_reward -0.71
iter 160, mean_pop -0.52, cur_reward -1.00, aver_reward -0.73
iter 161, mean_pop -0.80, cur_reward -1.00, aver_reward -0.76
iter 162, mean_pop -0.80, cur_reward -1.00, aver_reward -0.79
iter 163, mean_pop -0.80, cur_reward -1.00, aver_reward -0.81
iter 164, mean_pop -0.84, cur_reward -1.00, aver_reward -0.83
iter 165, mean_pop -0.80, cur_reward -1.00, aver_reward -0.84
iter 166, mean_pop -0.76, cur_reward 1.00, aver_reward -0.66
iter 167, mean_pop -0.76, cur_reward -1.00, aver_reward -0.69
iter 168, mean_pop -0.80, cur_reward -1.00, aver_reward -0.72
iter 169, mean_pop -0.84, cur_reward 1.00, aver_reward -0.55
iter 170, mean_pop -0.92, cur_reward -1.00, aver_reward -0.60
iter 171, mean_pop -0.88, cur_reward -1.00, aver_reward -0.64
iter 172, mean_pop -0.76, cur_reward -1.00, aver_reward -0.67
iter 173, mean_pop -0.60, cur_reward -1.00, aver_reward -0.71
iter 174, mean_pop -0.88, cur_reward -1.00, aver_reward -0.74
iter 175, mean_pop -0.88, cur_reward 1.00, aver_reward -0.56
iter 176, mean_pop -0.88, cur_reward -1.00, aver_reward -0.61
iter 177, mean_pop -0.64, cur_reward -1.00, aver_reward -0.64
iter 178, mean_pop -0.68, cur_reward -1.00, aver_reward -0.68
iter 179, mean_pop -0.76, cur_reward 1.00, aver_reward -0.51
iter 180, mean_pop -0.84, cur_reward -1.00, aver_reward -0.56
iter 181, mean_pop -0.80, cur_reward -1.00, aver_reward -0.61
iter 182, mean_pop -0.68, cur_reward -1.00, aver_reward -0.64
iter 183, mean_pop -0.80, cur_reward -1.00, aver_reward -0.68
iter 184, mean_pop -0.84, cur_reward -1.00, aver_reward -0.71
iter 185, mean_pop -0.76, cur_reward -1.00, aver_reward -0.74
iter 186, mean_pop -0.60, cur_reward 1.00, aver_reward -0.57
iter 187, mean_pop -0.76, cur_reward -1.00, aver_reward -0.61
iter 188, mean_pop -0.76, cur_reward -1.00, aver_reward -0.65
iter 189, mean_pop -0.68, cur_reward -1.00, aver_reward -0.68
iter 190, mean_pop -0.72, cur_reward -1.00, aver_reward -0.72
iter 191, mean_pop -0.80, cur_reward 1.00, aver_reward -0.54
iter 192, mean_pop -0.68, cur_reward 1.00, aver_reward -0.39
iter 193, mean_pop -0.72, cur_reward -1.00, aver_reward -0.45
iter 194, mean_pop -0.72, cur_reward 1.00, aver_reward -0.31
iter 195, mean_pop -0.68, cur_reward -1.00, aver_reward -0.38
iter 196, mean_pop -0.64, cur_reward -1.00, aver_reward -0.44
iter 197, mean_pop -0.56, cur_reward -1.00, aver_reward -0.49
iter 198, mean_pop -0.84, cur_reward 1.00, aver_reward -0.34
iter 199, mean_pop -0.80, cur_reward -1.00, aver_reward -0.41
iter 200, mean_pop -0.84, cur_reward -1.00, aver_reward -0.47
iter 201, mean_pop -0.76, cur_reward -1.00, aver_reward -0.52
iter 202, mean_pop -0.60, cur_reward -1.00, aver_reward -0.57
iter 203, mean_pop -0.72, cur_reward -1.00, aver_reward -0.61
iter 204, mean_pop -0.52, cur_reward -1.00, aver_reward -0.65
iter 205, mean_pop -0.72, cur_reward -1.00, aver_reward -0.69
iter 206, mean_pop -0.72, cur_reward -1.00, aver_reward -0.72
iter 207, mean_pop -0.64, cur_reward -1.00, aver_reward -0.75
iter 208, mean_pop -0.48, cur_reward -1.00, aver_reward -0.77
iter 209, mean_pop -0.80, cur_reward -1.00, aver_reward -0.79
iter 210, mean_pop -0.68, cur_reward -1.00, aver_reward -0.81
iter 211, mean_pop -0.56, cur_reward -1.00, aver_reward -0.83
iter 212, mean_pop -0.64, cur_reward -1.00, aver_reward -0.85
iter 213, mean_pop -0.68, cur_reward 1.00, aver_reward -0.67
iter 214, mean_pop -0.84, cur_reward 1.00, aver_reward -0.50
iter 215, mean_pop -0.88, cur_reward -1.00, aver_reward -0.55
iter 216, mean_pop -0.68, cur_reward -1.00, aver_reward -0.59
iter 217, mean_pop -0.72, cur_reward -1.00, aver_reward -0.63
iter 218, mean_pop -0.80, cur_reward 1.00, aver_reward -0.47
iter 219, mean_pop -0.72, cur_reward 1.00, aver_reward -0.32
